cuda:0
Using device: cuda:0

1 Number of Devices Exists

Episode 499	Average Score: -34.26Initial Position is [-0.13403839 -0.03696988]
===============================================================
Target Position is [-0.06021559  0.2897477 ]
===============================================================
Initial Kappas are  [10.800222467851956, 15.168742934516217, 11.394461002449649]
===============================================================
Goal Kappas are  [3.317701421598999, -3.83020549191979, 7.233334526174495]
===============================================================

Episode 500	Average Score: -34.38
Episode 500	Average Score: -34.38

Episode 501	Average Score: -34.37
Episode 502	Average Score: -34.38
Episode 503	Average Score: -34.43
Episode 504	Average Score: -34.46
Episode 505	Average Score: -34.47
Episode 506	Average Score: -34.38
Episode 507	Average Score: -34.34
Episode 508	Average Score: -34.41
Episode 509	Average Score: -34.77
Episode 510	Average Score: -34.89
Episode 511	Average Score: -34.89
Episode 512	Average Score: -34.96
Episode 513	Average Score: -34.98
Episode 514	Average Score: -35.01
Episode 515	Average Score: -35.00
Episode 516	Average Score: -35.27
Episode 517	Average Score: -34.91
Episode 518	Average Score: -34.34
Episode 519	Average Score: -34.50
Episode 520	Average Score: -34.40
Episode 521	Average Score: -34.53
Episode 522	Average Score: -34.55
Episode 523	Average Score: -34.34
Episode 524	Average Score: -34.11
Episode 525	Average Score: -34.01
Episode 526	Average Score: -34.00
Episode 527	Average Score: -33.73
Episode 528	Average Score: -33.79
Episode 529	Average Score: -33.98
Episode 530	Average Score: -34.17
Episode 531	Average Score: -34.32
Episode 532	Average Score: -34.26
Episode 533	Average Score: -34.20
Episode 534	Average Score: -34.20
Episode 535	Average Score: -34.30
Episode 536	Average Score: -34.23
Episode 537	Average Score: -34.13
Episode 538	Average Score: -34.19
Episode 539	Average Score: -33.70
Episode 540	Average Score: -33.47
Episode 541	Average Score: -33.68
Episode 542	Average Score: -33.52
Episode 543	Average Score: -33.55
Episode 544	Average Score: -33.42
Episode 545	Average Score: -33.39
Episode 546	Average Score: -33.55
Episode 547	Average Score: -33.55
Episode 548	Average Score: -33.69
Episode 549	Average Score: -33.75
Episode 550	Average Score: -33.77
Episode 551	Average Score: -33.74
Episode 552	Average Score: -33.65
Episode 553	Average Score: -33.66
Episode 554	Average Score: -33.57
Episode 555	Average Score: -33.54
Episode 556	Average Score: -33.51
Episode 557	Average Score: -33.47
Episode 558	Average Score: -33.36
Episode 559	Average Score: -33.25
Episode 560	Average Score: -33.15
Episode 561	Average Score: -33.21
Episode 562	Average Score: -33.06
Episode 563	Average Score: -33.01
Episode 564	Average Score: -33.04
Episode 565	Average Score: -33.09
Episode 566	Average Score: -33.19
Episode 567	Average Score: -33.26
Episode 568	Average Score: -33.36
Episode 569	Average Score: -33.28
Episode 570	Average Score: -33.15
Episode 571	Average Score: -33.19
Episode 572	Average Score: -33.02
Episode 573	Average Score: -32.94
Episode 574	Average Score: -32.99
Episode 575	Average Score: -33.02
Episode 576	Average Score: -33.08
Episode 577	Average Score: -33.18
Episode 578	Average Score: -33.28
Episode 579	Average Score: -33.08
Episode 580	Average Score: -33.22
Episode 581	Average Score: -33.18
Episode 582	Average Score: -32.99
Episode 583	Average Score: -33.13
Episode 584	Average Score: -33.22
Episode 585	Average Score: -33.42
Episode 586	Average Score: -33.46
Episode 587	Average Score: -33.54
Episode 588	Average Score: -33.68
Episode 589	Average Score: -33.81
Episode 590	Average Score: -33.48
Episode 591	Average Score: -33.38
Episode 592	Average Score: -33.37
Episode 593	Average Score: -33.38
Episode 594	Average Score: -33.39
Episode 595	Average Score: -33.48
Episode 596	Average Score: -33.64
Episode 597	Average Score: -33.65
Episode 598	Average Score: -33.68
Episode 599	Average Score: -33.86
